NAME,year,month,utility_name,total_disconnections,est_disconnections,avg_disconnection_rate,difference,PCT_DIF,mae,mape
"Baker County, Oregon",2021,October,Cascade Natural Gas,1,0.9966626936829559,0.5,0.0033373063170440975,-0.33373063170440975,0.0033373063170440975,0.33373063170440975
"Baker County, Oregon",2021,October,Idaho Power,1,1,0.1111111111111111,0,0,0,0
"Baker County, Oregon",2021,September,Cascade Natural Gas,13,12.956615017878427,6.5,0.043384982121573046,-0.33373063170440803,0.043384982121573046,0.3337306317044081
"Baker County, Oregon",2021,September,Idaho Power,5,4.866983372921615,0.5555555555555556,0.13301662707838524,-2.660332541567705,0.13301662707838524,2.660332541567705
"Baker County, Oregon",2022,April,Cascade Natural Gas,0,0,0,0,0,0,0
"Baker County, Oregon",2022,April,Idaho Power,0,0,0,0,0,0,0
"Baker County, Oregon",2022,August,Cascade Natural Gas,18,17.87675747907106,9,0.12324252092894028,-0.684680671827446,0.12324252092894028,0.6846806718274461
"Baker County, Oregon",2022,August,Idaho Power,0,0,0,0,0,0,0
"Baker County, Oregon",2022,December,Idaho Power,0,0,0,0,0,0,0
"Baker County, Oregon",2022,February,Cascade Natural Gas,3,2.9899880810488675,1.5,0.010011918951132515,-0.33373063170441714,0.010011918951132515,0.3337306317044172
"Baker County, Oregon",2022,February,Idaho Power,0,0,0,0,0,0,0
"Baker County, Oregon",2022,January,Cascade Natural Gas,2,1.9933253873659118,1,0.006674612634088195,-0.33373063170440975,0.006674612634088195,0.33373063170440975
"Baker County, Oregon",2022,January,Idaho Power,0,0,0,0,0,0,0
"Baker County, Oregon",2022,July,Cascade Natural Gas,14,13.953277711561382,7,0.04672228843861781,-0.3337306317044129,0.04672228843861781,0.3337306317044129
"Baker County, Oregon",2022,June,Cascade Natural Gas,6,5.916805154875587,3,0.08319484512441289,-1.386580752073548,0.08319484512441289,1.3865807520735483
"Baker County, Oregon",2022,March,Cascade Natural Gas,7,6.976638855780691,3.5,0.023361144219308905,-0.3337306317044129,0.023361144219308905,0.3337306317044129
"Baker County, Oregon",2022,March,Idaho Power,3,2.9334916864608074,0.3333333333333333,0.06650831353919262,-2.216943784639754,0.06650831353919262,2.2169437846397537
"Baker County, Oregon",2022,May,Cascade Natural Gas,1,0.9966626936829559,0.5,0.0033373063170440975,-0.33373063170440975,0.0033373063170440975,0.33373063170440975
"Baker County, Oregon",2022,November,Idaho Power,2,1.9334916864608076,0.2222222222222222,0.0665083135391924,-3.32541567695962,0.0665083135391924,3.32541567695962
"Baker County, Oregon",2022,October,Cascade Natural Gas,4,3.797137753065379,2,0.20286224693462085,-5.071556173365521,0.20286224693462085,5.071556173365521
"Baker County, Oregon",2022,October,Idaho Power,0,0,0,0,0,0,0
"Baker County, Oregon",2022,September,Cascade Natural Gas,15,14.88676939802219,7.5,0.11323060197780954,-0.7548706798520636,0.11323060197780954,0.7548706798520637
