NAME,year,month,utility_name,total_disconnections,est_disconnections,avg_disconnection_rate,difference,PCT_DIF,mae,mape
"Adams County, Washington",2023,April,Cascade Natural Gas,6,4.928755364806867,6,1.0712446351931328,-17.85407725321888,1.0712446351931328,17.854077253218883
"Adams County, Washington",2023,August,Avista Utilities,21,17.92642302856895,5.25,3.0735769714310486,-14.636080816338326,3.0735769714310486,14.636080816338326
"Adams County, Washington",2023,August,Cascade Natural Gas,0,0,0,0,0,0,0
"Adams County, Washington",2023,December,Avista Utilities,26,22.37800609817777,6.5,3.621993901822229,-13.930745776239345,3.621993901822229,13.930745776239343
"Adams County, Washington",2023,December,Cascade Natural Gas,2,1.6429184549356224,2,0.3570815450643776,-17.854077253218883,0.3570815450643776,17.854077253218883
"Adams County, Washington",2023,February,Avista Utilities,20,17.462045346165517,5,2.5379546538344826,-12.689773269172413,2.5379546538344826,12.689773269172413
"Adams County, Washington",2023,February,Cascade Natural Gas,1,0.8214592274678112,1,0.1785407725321888,-17.854077253218883,0.1785407725321888,17.854077253218883
"Adams County, Washington",2023,January,Avista Utilities,21,17.92642302856895,5.25,3.0735769714310486,-14.636080816338326,3.0735769714310486,14.636080816338326
"Adams County, Washington",2023,January,Cascade Natural Gas,1,0.8214592274678112,1,0.1785407725321888,-17.854077253218883,0.1785407725321888,17.854077253218883
"Adams County, Washington",2023,July,Avista Utilities,21,17.911608213754135,5.25,3.0883917862458645,-14.706627553551735,3.0883917862458645,14.706627553551735
"Adams County, Washington",2023,July,Cascade Natural Gas,5,4.1072961373390555,5,0.8927038626609445,-17.85407725321889,0.8927038626609445,17.85407725321889
"Adams County, Washington",2023,June,Avista Utilities,12,10.365523619600873,3,1.6344763803991267,-13.620636503326056,1.6344763803991267,13.620636503326056
"Adams County, Washington",2023,June,Cascade Natural Gas,0,0,0,0,0,0,0
"Adams County, Washington",2023,March,Avista Utilities,31,26.291946648169823,7.75,4.708053351830177,-15.187268876871538,4.708053351830177,15.187268876871537
"Adams County, Washington",2023,March,Cascade Natural Gas,4,3.2858369098712448,4,0.7141630901287552,-17.854077253218883,0.7141630901287552,17.854077253218883
"Adams County, Washington",2023,May,Avista Utilities,30,25.63623358043959,7.5,4.36376641956041,-14.545888065201364,4.36376641956041,14.545888065201366
"Adams County, Washington",2023,May,Cascade Natural Gas,1,0.8214592274678112,1,0.1785407725321888,-17.854077253218883,0.1785407725321888,17.854077253218883
"Adams County, Washington",2023,November,Avista Utilities,1,0.8214592274678112,0.25,0.1785407725321888,-17.854077253218883,0.1785407725321888,17.854077253218883
"Adams County, Washington",2023,November,Cascade Natural Gas,0,0,0,0,0,0,0
"Adams County, Washington",2023,October,Avista Utilities,23,19.88803919018511,5.75,3.1119608098148888,-13.530264390499516,3.1119608098148888,13.530264390499516
"Adams County, Washington",2023,October,Cascade Natural Gas,2,1.6429184549356224,2,0.3570815450643776,-17.854077253218883,0.3570815450643776,17.854077253218883
